"Hair","Eye"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Black","Green"
"Black","Green"
"Black","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Black","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Brown","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Red","Brown"
"Blond","Brown"
"Blond","Brown"
"Blond","Brown"
"Blond","Brown"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Black","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Brown","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Red","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Blond","Blue"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Black","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Brown","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Red","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Blond","Hazel"
"Black","Green"
"Black","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Brown","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Red","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
"Blond","Green"
