"interest_rate","income_ver","debt_to_income","credit_util","bankruptcy","term","issued","credit_checks"
15.05,"not",13.27,0.9214,0,36,"Feb2018",0
7.96,"source_only",16.72,0.1261,0,36,"Mar2018",13
26.77,"source_only",18.5,0.114,0,60,"Mar2018",2
9.44,"not",15.28,0.0981,1,60,"Jan2018",6
13.59,"not",19.05,0.2982,0,36,"Feb2018",9
15.04,"source_only",26.96,0.471,0,36,"Mar2018",0
5.31,"not",21.63,0.375,0,36,"Mar2018",2
14.08,"verified",24.77,0.7208,0,36,"Feb2018",8
13.59,"source_only",18.36,0.5554,0,36,"Jan2018",2
7.97,"not",18.92,0.461,0,36,"Feb2018",0
9.93,"source_only",14.66,0.4261,0,60,"Jan2018",2
6.08,"source_only",29.58,0.1118,0,36,"Jan2018",0
21.85,"not",37.83,0.6557,0,60,"Feb2018",0
10.42,"source_only",13.49,0.7066,0,36,"Feb2018",2
17.47,"source_only",29.36,0.774,0,36,"Mar2018",0
10.9,"source_only",1.12,0.1964,0,36,"Mar2018",0
6.08,"not",18.67,0.2774,0,36,"Jan2018",0
12.61,"not",25.23,0.5362,0,36,"Mar2018",1
23.87,"verified",27.56,0.0761,0,36,"Feb2018",2
18.06,"verified",26.88,0.2194,0,36,"Feb2018",2
13.59,"source_only",21.45,0.919,0,60,"Jan2018",0
16.02,"source_only",15.3,0.6163,1,36,"Feb2018",3
9.93,"verified",16.13,0.3265,0,36,"Feb2018",2
9.92,"source_only",2.91,0.1597,0,36,"Mar2018",2
7.35,"not",18.55,0.6559,0,36,"Jan2018",1
10.91,"source_only",9.19,0.1208,0,36,"Feb2018",2
13.59,"source_only",8.46,0.5612,0,60,"Feb2018",1
14.07,"source_only",9.8,0.3926,1,36,"Mar2018",0
7.34,"not",11.62,0.3904,0,36,"Mar2018",6
15.05,"verified",24.31,0.1448,0,60,"Feb2018",1
6.72,"verified",14.66,0.2983,0,36,"Feb2018",0
16.01,"source_only",22.73,0.162,0,36,"Mar2018",1
7.34,"not",9.91,0.2183,0,36,"Mar2018",0
23.88,"not",29.47,0.945,1,36,"Feb2018",4
15.05,"not",27.68,0.6523,0,36,"Jan2018",1
6.72,"not",4.25,0.2087,0,36,"Feb2018",0
21.45,"source_only",16.97,0.3702,0,36,"Feb2018",3
25.82,"verified",19.44,0.4509,1,60,"Feb2018",1
14.08,"not",6.06,0.6181,0,60,"Jan2018",2
15.05,"verified",17.25,0.7362,1,36,"Feb2018",1
9.44,"not",23.33,0.3264,0,36,"Jan2018",0
17.09,"verified",33.19,0.75,0,36,"Feb2018",2
16.01,"not",19.93,0.6549,0,36,"Mar2018",1
10.9,"source_only",15.31,0.3196,1,60,"Mar2018",2
12.62,"not",22.88,0.5194,0,36,"Jan2018",2
21.45,"verified",14.4,0.8387,0,60,"Feb2018",2
10.41,"source_only",6.11,0.0564,0,36,"Mar2018",3
5.32,"not",18.65,0.4572,0,36,"Jan2018",0
21.85,"verified",27.08,0.1594,1,60,"Mar2018",2
18.06,"not",11.73,0.5229,1,60,"Jan2018",3
5.32,"source_only",7.82,0.2447,0,36,"Feb2018",2
17.09,"source_only",18.88,0.708,0,60,"Feb2018",3
9.93,"source_only",20.78,0.1386,0,60,"Mar2018",1
6.08,"source_only",19.42,0.62,0,36,"Feb2018",1
17.09,"not",0.209249626307922,0.8072,0,60,"Feb2018",10
16.01,"not",0.33,0.433,0,36,"Mar2018",2
13.59,"not",8.56,0.4802,1,60,"Feb2018",0
9.92,"source_only",14.16,0.5322,0,36,"Mar2018",2
15.04,"source_only",12.89,0.167,0,60,"Mar2018",2
6.71,"not",9.92,0.0628,0,36,"Mar2018",3
17.47,"source_only",7.2,0.9833,0,36,"Mar2018",0
11.99,"source_only",27.06,0.4716,1,36,"Jan2018",2
13.59,"source_only",13.3,0.4979,0,36,"Feb2018",1
7.35,"not",24.99,0.3424,0,36,"Jan2018",9
10.42,"source_only",0.54,2e-04,0,60,"Jan2018",4
7.97,"source_only",16.72,0.1291,0,36,"Feb2018",0
9.92,"not",10.62,0.1492,0,60,"Mar2018",1
12.61,"verified",39.34,0.5863,0,36,"Mar2018",0
9.93,"not",14.23,0.3229,0,60,"Jan2018",1
14.07,"not",21.79,0.1495,0,60,"Mar2018",1
14.08,"source_only",5.96,0.7414,0,60,"Feb2018",0
12.62,"source_only",22.49,0.4484,0,60,"Jan2018",2
16.02,"source_only",17.28,0.1843,0,60,"Jan2018",3
14.07,"not",29.38,0.252,0,60,"Feb2018",7
18.06,"source_only",24.57,0.4673,0,36,"Feb2018",2
14.08,"not",21.3,0.4702,0,60,"Jan2018",1
16.02,"source_only",8.63,0.9174,0,60,"Feb2018",0
11.99,"source_only",8.66,0.1346,0,60,"Jan2018",0
6.72,"not",26.49,0.4551,0,36,"Feb2018",0
19.03,"source_only",8.37,0.7229,1,60,"Jan2018",9
6.71,"source_only",11.33,0.6022,0,36,"Mar2018",0
6.07,"not",15.48,0.5509,0,36,"Mar2018",0
7.35,"source_only",16.95,0.2509,0,36,"Jan2018",0
13.59,"not",27.93,0.5296,1,36,"Feb2018",1
13.59,"source_only",5.87,0.0732,0,36,"Jan2018",1
5.31,"not",12.42,0.0967,0,36,"Mar2018",0
7.97,"source_only",13.04,0.6104,0,36,"Jan2018",2
7.35,"source_only",40.15,0.2549,1,36,"Jan2018",3
11.99,"verified",11.88,0.5187,1,36,"Jan2018",2
16.02,"not",25.41,0.4599,0,36,"Feb2018",3
9.93,"source_only",9.33,0.6989,1,36,"Jan2018",0
19.42,"not",27.74,0.5078,0,36,"Feb2018",5
7.96,"not",23.01,0.4659,0,36,"Mar2018",0
13.59,"source_only",10.83,0.0303,0,36,"Jan2018",0
12.61,"verified",39.63,0.8101,1,36,"Mar2018",7
19.03,"verified",18.09,0.104,0,36,"Feb2018",5
16.01,"source_only",7.08,0.323,0,36,"Mar2018",6
6.72,"not",2.54,0.0874,0,36,"Jan2018",0
6.07,"not",25.33,0.1971,1,36,"Mar2018",1
15.05,"source_only",23.92,0.2282,0,36,"Jan2018",0
6.07,"source_only",29.72,0.604,0,36,"Mar2018",0
13.58,"verified",22.66,0.2917,0,36,"Mar2018",2
10.42,"source_only",5.68,0.3432,0,36,"Feb2018",1
11.98,"source_only",9.73,0.8969,0,36,"Mar2018",0
9.43,"source_only",2.78,0.0596,0,36,"Mar2018",0
16.02,"not",39.07,0.6922,0,36,"Feb2018",3
18.06,"verified",25.43,0.4261,0,36,"Feb2018",0
12.61,"source_only",2.47,0.1284,0,60,"Mar2018",1
14.07,"source_only",22.92,0.1305,0,60,"Mar2018",1
10.42,"source_only",27.71,0.3936,0,36,"Jan2018",4
10.42,"source_only",14.04,0.6805,1,36,"Jan2018",2
17.47,"source_only",11.79,0.157,1,60,"Mar2018",1
10.91,"not",30.54,0.7617,0,60,"Jan2018",1
5.32,"not",18.63,0.0963,0,36,"Jan2018",0
9.44,"not",18.39,0.154,0,60,"Jan2018",3
9.44,"source_only",27.84,0.1546,0,36,"Mar2018",1
14.08,"not",9.24,0.3184,0,36,"Feb2018",0
7.35,"not",14.31,0.2115,1,36,"Jan2018",1
12.62,"not",14.39,0.3278,0,60,"Jan2018",1
15.04,"verified",22.04,0.6916,0,36,"Mar2018",1
9.92,"source_only",0,0,0,60,"Mar2018",3
10.9,"verified",15.81,0.4828,0,60,"Mar2018",3
6.72,"not",27.6,0.4933,0,36,"Mar2018",4
5.32,"verified",29.12,0.5187,0,36,"Feb2018",0
11.99,"verified",7.57,0.9297,0,60,"Jan2018",1
5.32,"source_only",10.67,0.0699,0,36,"Feb2018",1
10.41,"verified",31.61,0.334,0,36,"Mar2018",0
14.07,"source_only",8.7,0.7212,0,60,"Mar2018",1
6.07,"not",15.05,0.2206,0,36,"Feb2018",1
9.93,"verified",28.96,0.6923,0,36,"Jan2018",0
11.99,"source_only",2.28,0.3561,0,36,"Mar2018",10
6.71,"verified",12.9,0.1737,1,36,"Mar2018",2
5.31,"not",16.57,0.116,0,36,"Feb2018",2
13.59,"not",18.03,0.4087,0,60,"Feb2018",1
10.9,"source_only",10.92,0.5315,1,36,"Feb2018",3
12.62,"source_only",5.59,0.2607,0,36,"Jan2018",2
10.42,"not",27.02,0.9359,0,36,"Jan2018",2
15.05,"not",24.38,0.8115,0,36,"Feb2018",4
6.71,"not",11.45,0.3423,0,36,"Feb2018",0
21.45,"source_only",28.8,0.9211,1,60,"Feb2018",1
9.44,"source_only",11.12,0.2469,0,36,"Mar2018",3
11.99,"verified",13.47,0.2406,0,36,"Feb2018",6
11.99,"not",16.93,0.7984,0,36,"Jan2018",0
6.07,"not",14.43,0.2202,0,36,"Mar2018",1
5.31,"source_only",16.08,0.5195,0,36,"Feb2018",0
6.07,"source_only",33.23,0.186,0,36,"Mar2018",2
19.42,"source_only",23.73,0.8697,1,60,"Feb2018",6
21.85,"verified",14.37,0.6183,0,60,"Mar2018",1
14.08,"verified",21.32,0.1517,0,36,"Feb2018",4
18.06,"verified",18.66,0.0926,0,60,"Jan2018",2
10.91,"source_only",27.2,0.8154,0,36,"Jan2018",3
9.44,"not",24.38,0.2934,0,60,"Jan2018",0
12.62,"verified",17.23,0.1282,0,60,"Feb2018",0
9.44,"not",7.75,0.2886,0,60,"Feb2018",0
6.08,"verified",6.21,0.1497,0,36,"Feb2018",0
11.98,"not",26.88,0.3951,0,36,"Mar2018",3
9.92,"not",19.44,0.8175,0,36,"Mar2018",0
13.59,"source_only",19.2,0.1859,0,36,"Feb2018",1
10.41,"not",16.31,0.6357,1,36,"Feb2018",4
9.93,"verified",42.64,0.1938,0,60,"Jan2018",3
7.97,"not",17.49,0.1339,0,36,"Feb2018",3
19.42,"not",32.32,0.6288,0,36,"Mar2018",5
18.45,"verified",18.17,0.6822,0,60,"Mar2018",2
6.72,"not",7.2,0.1124,0,36,"Jan2018",3
10.91,"source_only",3.48,0.0419,0,36,"Jan2018",1
17.47,"source_only",20.73,0.4207,0,36,"Mar2018",0
10.41,"not",9.37,0.5432,0,36,"Mar2018",3
6.72,"verified",74.38,0.4955,0,36,"Jan2018",0
9.44,"not",15.28,0.1109,0,36,"Feb2018",4
12.61,"source_only",9.09,0.3236,0,36,"Mar2018",4
7.96,"not",3.67,0.084,0,36,"Mar2018",4
10.9,"verified",2.7,0.8343,0,36,"Mar2018",1
21.85,"not",16.07,0.1432,0,60,"Feb2018",3
7.96,"verified",9.82,0.1091,0,36,"Mar2018",0
9.43,"verified",21.08,0.2238,0,60,"Mar2018",3
15.04,"not",22.18,0.1632,0,60,"Mar2018",1
14.07,"source_only",13.72,0.1512,0,60,"Mar2018",4
10.9,"source_only",15.3,0.1127,1,36,"Mar2018",0
6.08,"not",13.82,0.1206,0,36,"Feb2018",2
9.93,"source_only",15.94,0.9571,0,36,"Jan2018",1
12.61,"not",11.52,0.7181,0,36,"Mar2018",0
10.42,"not",18.48,0.1592,0,60,"Feb2018",0
30.17,"source_only",22.6,0.1333,0,60,"Jan2018",1
19.42,"verified",21.22,0.8703,0,60,"Feb2018",3
9.43,"not",20.58,0.2256,1,36,"Mar2018",1
17.47,"verified",7.2,0.0188,0,60,"Mar2018",0
7.34,"source_only",16.62,0.3941,0,36,"Mar2018",0
7.96,"not",15.38,0.7378,1,36,"Mar2018",0
13.58,"source_only",17.62,0.5643,1,36,"Mar2018",2
9.43,"verified",10.85,0.1916,0,60,"Mar2018",0
21.85,"verified",36.25,0.3761,0,60,"Mar2018",1
21.85,"not",27.28,0.6074,1,60,"Mar2018",0
22.91,"verified",1.25,1.1115,1,36,"Jan2018",1
12.61,"not",0.75,0.0011,0,36,"Mar2018",3
9.93,"verified",12.08,0.0621,0,36,"Feb2018",5
6.72,"source_only",13.75,0.1587,0,36,"Jan2018",2
19.42,"source_only",8.59,0.8663,0,36,"Mar2018",0
9.92,"source_only",18.89,0.0964,1,36,"Mar2018",9
14.07,"not",19.97,0.2153,0,60,"Mar2018",0
10.42,"verified",37.06,0.2136,0,36,"Jan2018",1
7.35,"not",17.61,0.407,0,36,"Jan2018",10
6.71,"not",27.51,0.6279,0,36,"Mar2018",2
12.62,"not",21.05,0.1996,0,36,"Feb2018",5
21.45,"not",38.45,0.3762,0,60,"Feb2018",5
16.01,"not",17.96,0.2709,0,60,"Feb2018",0
16.02,"not",6.27,0.3235,1,60,"Jan2018",1
10.9,"source_only",11.36,0.6951,0,36,"Mar2018",1
11.99,"source_only",9.11,0.0606,0,36,"Jan2018",3
7.34,"source_only",5.44,0.325,0,36,"Mar2018",3
12.61,"not",15.46,0.8275,0,36,"Feb2018",1
6.71,"source_only",7.2,0.1887,0,36,"Mar2018",2
9.43,"not",2.42,0.4756,0,36,"Mar2018",0
13.59,"not",34.13,0.8105,0,36,"Jan2018",1
6.08,"not",17.68,0.1831,0,36,"Jan2018",0
7.96,"source_only",18.01,0.3102,0,36,"Mar2018",3
7.35,"not",25.65,0.459,0,36,"Feb2018",1
10.9,"source_only",10.19,0.5957,0,60,"Mar2018",0
6.07,"source_only",24.17,0.2723,0,36,"Mar2018",0
19.03,"source_only",5.44,0.1201,0,36,"Jan2018",2
14.08,"source_only",9.49,0.9254,0,60,"Feb2018",1
10.42,"source_only",27.7,0.7438,0,36,"Feb2018",1
9.44,"not",1.45,0.0079,1,36,"Mar2018",1
5.31,"source_only",9.78,0.1308,0,36,"Feb2018",0
7.97,"not",11.81,0.4696,0,36,"Jan2018",1
5.32,"not",14.44,0.161,0,36,"Jan2018",2
10.91,"verified",31.18,0.405,0,36,"Jan2018",1
10.91,"source_only",38.98,0.6707,0,36,"Jan2018",0
19.03,"verified",128.61,0.2788,0,36,"Jan2018",0
12.61,"source_only",14.72,0.9146,0,60,"Mar2018",1
13.59,"source_only",17.58,0.2591,0,36,"Jan2018",1
5.32,"source_only",20.57,0.1698,0,36,"Jan2018",0
13.58,"verified",22.64,0.5278,0,60,"Mar2018",2
16.01,"not",9.92,0.1872,0,60,"Feb2018",2
7.35,"not",14.52,0.1835,0,36,"Jan2018",3
9.92,"verified",18.61,0.0789,0,36,"Mar2018",1
9.43,"source_only",16.82,0.1358,0,60,"Feb2018",0
7.35,"verified",13.22,0.0949,0,36,"Feb2018",3
9.43,"not",7.84,0.051,1,36,"Mar2018",2
9.44,"not",5.65,0.3745,1,36,"Feb2018",3
17.09,"source_only",24.8,0.8452,0,36,"Jan2018",1
18.06,"verified",24.42,0.6976,0,36,"Jan2018",9
21.85,"source_only",18.08,0.7079,0,60,"Mar2018",4
6.72,"not",10.66,0.4499,0,36,"Feb2018",0
9.43,"source_only",21.22,0.4867,0,36,"Feb2018",3
10.42,"verified",16.19,0.1078,0,60,"Jan2018",0
15.04,"not",10.15,0.6323,0,60,"Mar2018",2
18.06,"source_only",2.59,0.0492,0,36,"Feb2018",1
15.04,"source_only",12.86,0.7207,0,36,"Mar2018",4
13.59,"verified",33.84,0.6018,0,36,"Feb2018",3
7.35,"verified",204.13,0.212,0,60,"Jan2018",1
15.05,"verified",3.83,0.3651,0,36,"Feb2018",1
26.77,"verified",27.7,0.7125,0,60,"Mar2018",0
7.35,"verified",7.81,0.169,0,36,"Jan2018",0
11.98,"source_only",17.98,0.2018,0,36,"Feb2018",2
13.59,"not",22.57,0.4672,0,36,"Jan2018",0
11.98,"not",9.14,0.5765,0,36,"Mar2018",2
7.35,"not",36.45,0.4473,0,36,"Jan2018",0
9.92,"not",13.6,0.2106,0,36,"Mar2018",4
14.08,"not",30.38,0.6692,0,36,"Jan2018",1
9.93,"source_only",15.34,0.1937,0,60,"Feb2018",1
17.47,"source_only",16.66,0.4858,0,36,"Mar2018",0
9.43,"source_only",16.55,0.1706,0,36,"Mar2018",2
7.97,"not",6.88,0.0465,1,36,"Jan2018",0
9.43,"not",19.97,0.448,0,60,"Mar2018",2
14.08,"verified",24.34,0.6229,0,36,"Feb2018",0
7.97,"not",19.95,0.1384,0,36,"Jan2018",6
14.07,"not",17.23,1.0644,0,36,"Mar2018",1
9.93,"source_only",80.75,0.3691,0,36,"Jan2018",4
10.42,"not",11.62,0.6037,0,36,"Jan2018",5
25.82,"verified",20.16,0.875,0,60,"Feb2018",7
25.82,"source_only",34.02,0.6866,0,60,"Feb2018",0
7.35,"not",19.71,0.4302,0,36,"Feb2018",2
15.05,"source_only",19.95,0.5247,1,60,"Jan2018",3
7.96,"not",15.53,0.2635,0,36,"Mar2018",0
13.58,"verified",38.29,0.4721,0,36,"Mar2018",2
16.01,"verified",35.5,0.1259,1,60,"Feb2018",0
7.34,"not",34.38,0.145,0,36,"Mar2018",3
6.08,"not",9.53,0.0647,0,36,"Jan2018",0
12.61,"source_only",27.92,0.7821,0,36,"Mar2018",0
16.02,"source_only",25.31,0.1555,1,60,"Feb2018",0
11.99,"not",18.57,0.2547,0,60,"Feb2018",1
6.08,"not",20.05,0.4128,0,36,"Feb2018",0
30.79,"source_only",23.97,0.79,0,60,"Feb2018",0
16.02,"verified",30.51,0.9449,0,36,"Jan2018",0
12.61,"source_only",21.92,0.8264,0,60,"Mar2018",4
12.61,"not",14.24,0.0645,0,36,"Mar2018",0
14.08,"not",6.79,0.4835,0,36,"Jan2018",0
17.09,"not",3.82,0.2812,0,36,"Jan2018",3
7.96,"not",14.4,0.1881,0,36,"Mar2018",4
10.42,"verified",4.66,0.6304,0,36,"Jan2018",1
7.34,"not",26.04,0.4961,1,36,"Mar2018",1
9.92,"not",26.4,0.1734,0,60,"Mar2018",3
6.72,"source_only",17.67,0.3012,0,36,"Jan2018",1
10.42,"source_only",24.06,0.5057,0,36,"Feb2018",3
6.71,"not",16.39,0.5658,0,60,"Mar2018",3
16.01,"source_only",17.16,0.6657,0,36,"Mar2018",8
14.08,"not",23.88,0.6863,0,36,"Jan2018",0
10.9,"not",8.79,0.7212,1,36,"Mar2018",2
5.31,"not",13.5,0.5598,0,36,"Mar2018",0
17.47,"source_only",27.72,0.6556,0,60,"Mar2018",0
9.93,"source_only",29.58,0.1743,1,36,"Feb2018",1
9.43,"source_only",12.95,0.1082,0,36,"Mar2018",0
14.08,"source_only",14.66,0.6395,0,60,"Jan2018",0
7.97,"verified",25.18,0.7065,0,36,"Jan2018",1
7.35,"source_only",8.02,0.3104,0,36,"Jan2018",2
15.05,"not",18.5,0.468,0,60,"Jan2018",3
14.07,"source_only",19.8,0.6359,0,36,"Feb2018",2
11.99,"source_only",13.08,0.8058,0,36,"Jan2018",1
5.31,"not",9.17,0.4319,0,36,"Mar2018",2
5.32,"not",6.36,0.0923,0,36,"Jan2018",0
11.99,"not",22.86,0.6484,0,36,"Jan2018",1
15.04,"source_only",12.52,0.5497,0,60,"Mar2018",2
6.72,"source_only",9.8,0.0494,0,36,"Jan2018",3
7.97,"source_only",9.93,0.1148,0,36,"Jan2018",0
5.32,"source_only",18.98,0.2139,0,36,"Jan2018",4
22.91,"verified",22.66,0.1869,0,36,"Feb2018",8
10.91,"source_only",16.72,0.5338,0,60,"Feb2018",0
15.05,"verified",33.01,0.2584,0,36,"Mar2018",1
7.35,"not",14.16,0.2024,0,36,"Jan2018",5
11.99,"verified",3.76,0.025,0,36,"Jan2018",3
9.93,"verified",17.74,0.5874,1,36,"Feb2018",1
20,"source_only",19.85,0.8367,0,60,"Feb2018",5
13.59,"source_only",11.66,0.0998,1,36,"Jan2018",3
26.77,"verified",8.64,0.6884,1,60,"Mar2018",4
16.01,"not",35.12,0.6939,0,60,"Mar2018",4
5.31,"not",5.25,0.5608,0,36,"Feb2018",0
21.85,"verified",10.8,0.5183,0,60,"Mar2018",1
11.99,"not",3.04,0.8587,0,36,"Jan2018",1
6.08,"source_only",21.62,0.8773,0,36,"Jan2018",0
19.03,"source_only",34.04,0.4465,0,36,"Jan2018",2
7.35,"source_only",21.52,0.5793,0,36,"Jan2018",0
7.96,"source_only",22.14,0.1944,0,36,"Mar2018",2
20.39,"source_only",33.37,0.7863,0,36,"Feb2018",0
15.05,"verified",92.67,0.683,0,60,"Feb2018",2
7.96,"not",17.64,0.1721,0,36,"Mar2018",0
5.32,"not",18.42,0.3128,0,36,"Jan2018",0
14.08,"not",30.62,1.0834,0,36,"Jan2018",2
18.45,"verified",13.23,0.8384,1,36,"Mar2018",3
6.72,"source_only",34.72,0.5209,1,36,"Feb2018",0
17.09,"not",13.08,0.7268,0,60,"Jan2018",1
10.9,"not",37.46,0.1664,0,36,"Mar2018",2
13.58,"verified",27.03,0.3059,0,60,"Mar2018",0
14.08,"verified",3.85,0.1483,0,60,"Feb2018",3
6.72,"source_only",25.73,0.1769,0,60,"Feb2018",1
9.43,"not",9.2,0.2924,0,36,"Mar2018",2
11.99,"source_only",27.16,0.8466,0,60,"Feb2018",0
11.98,"not",9.69,1.0177,0,36,"Feb2018",0
10.42,"verified",16.02,0.1688,0,60,"Jan2018",2
11.98,"source_only",7.05,0.9291,0,36,"Mar2018",0
7.96,"source_only",27.2,0.6282,0,60,"Mar2018",0
9.93,"not",11.22,0.0757,0,36,"Jan2018",5
9.43,"source_only",13.42,0.8764,0,36,"Feb2018",0
10.41,"verified",17.22,0.9045,0,36,"Feb2018",2
7.34,"source_only",15.67,0.586,0,36,"Mar2018",2
14.07,"source_only",18.19,0.9528,0,36,"Mar2018",2
10.42,"not",14.11,0.563,0,60,"Feb2018",1
7.97,"source_only",20.27,0.1186,0,36,"Feb2018",3
21.45,"verified",10.91,0.0778,0,60,"Jan2018",2
21.45,"source_only",1.8,0.7176,0,36,"Feb2018",3
26.77,"verified",19.66,0.2172,0,60,"Mar2018",6
20.39,"verified",27.48,0.4128,0,60,"Mar2018",3
10.42,"not",24.28,0.5989,0,36,"Feb2018",0
17.47,"source_only",12.36,0.5819,0,36,"Mar2018",2
7.34,"not",21.53,0.1948,0,60,"Feb2018",4
7.35,"verified",14.08,0.0668,0,36,"Mar2018",0
